Transaction Title,Transaction Link,Transaction Date
O2Micro Announces Receipt of a Preliminary Non-Binding Proposal to Acquire the Company,https://www.globenewswire.com//news-release/2022/03/18/2406283/11425/en/O2Micro-Announces-Receipt-of-a-Preliminary-Non-Binding-Proposal-to-Acquire-the-Company.html,3/18/2022
"Salona Global Medical Device Corporation Announces Closing of Acquisition of Mio-Guard LLC, a Distribution Company Serving the Mid-West United States",https://www.globenewswire.com//news-release/2022/03/18/2406217/0/en/Salona-Global-Medical-Device-Corporation-Announces-Closing-of-Acquisition-of-Mio-Guard-LLC-a-Distribution-Company-Serving-the-Mid-West-United-States.html,3/18/2022
Invesco Ltd.: Form 8.3 - Ultra Electronics Holdings PLC,https://www.globenewswire.com//news-release/2022/03/18/2406026/0/en/Invesco-Ltd-Form-8-3-Ultra-Electronics-Holdings-PLC.html,3/18/2022
Form 8.3 - [CareTech Holdings plc - 17 03 2022] - (CGWL),https://www.globenewswire.com//news-release/2022/03/18/2405985/0/en/Form-8-3-CareTech-Holdings-plc-17-03-2022-CGWL.html,3/18/2022
Apexigen and Brookline Capital Acquisition Corp. Announce Business Combination Agreement to Create Publicly Listed Immuno-oncology Company,https://www.globenewswire.com//news-release/2022/03/18/2405858/0/en/Apexigen-and-Brookline-Capital-Acquisition-Corp-Announce-Business-Combination-Agreement-to-Create-Publicly-Listed-Immuno-oncology-Company.html,3/18/2022
Noble Corporation and Maersk Drilling announce Executive Management Team for Combined Company,https://www.globenewswire.com//news-release/2022/03/18/2405764/0/en/Noble-Corporation-and-Maersk-Drilling-announce-Executive-Management-Team-for-Combined-Company.html,3/18/2022
Camden Property Trust Announces Acquisition of Fund Partnership Interests,https://businesswire.com/news/home/20220318005396/en/Camden-Property-Trust-Announces-Acquisition-of-Fund-Partnership-Interests,3/18/2022
"Communications Systems, Inc. Announces Reverse Stock Split Effective March 18, 2022",https://businesswire.com/news/home/20220318005393/en/Communications-Systems-Inc.-Announces-Reverse-Stock-Split-Effective-March-18-2022,3/18/2022
PropertyGuru Lists on the NYSE,https://businesswire.com/news/home/20220318005356/en/PropertyGuru-Lists-on-the-NYSE,3/18/2022
Generational Equity Advises Gemite Products in its Sale to W.R. MEADOWS,https://businesswire.com/news/home/20220318005021/en/Generational-Equity-Advises-Gemite-Products-in-its-Sale-to-W.R.-MEADOWS,3/18/2022
"Daikin Subsidiary Enters into Definitive Agreement to Acquire CCOM Group, Inc. for Distribution in New Jersey and Surrounding States",https://businesswire.com/news/home/20220316006133/en/Daikin-Subsidiary-Enters-into-Definitive-Agreement-to-Acquire-CCOM-Group-Inc.-for-Distribution-in-New-Jersey-and-Surrounding-States,3/18/2022
Generational Equity Advises RBRO Solutions in its Sale to Jonas Software,https://businesswire.com/news/home/20220318005020/en/Generational-Equity-Advises-RBRO-Solutions-in-its-Sale-to-Jonas-Software,3/18/2022
NexPoint Diversified Real Estate Trust (NXDT) Provides Update on MGM Investment,https://www.prnewswire.com/news-releases/nexpoint-diversified-real-estate-trust-nxdt-provides-update-on-mgm-investment-301506090.html,3/18/2022
Highland Income Fund (HFRO) Provides Update on MGM Investment,https://www.prnewswire.com/news-releases/highland-income-fund-hfro-provides-update-on-mgm-investment-301506079.html,3/18/2022
"Construction Partners, Inc. Completes Florida Acquisition",https://www.prnewswire.com/news-releases/construction-partners-inc-completes-florida-acquisition-301506058.html,3/18/2022
"S&amp;P Global Announces Pricing of Tender Offer for Any and All of Its Outstanding 5.000% Senior Notes Due 2022, 4.000% Senior Notes Due 2025 and 4.750% Senior Notes Due 2025",https://www.prnewswire.com/news-releases/sp-global-announces-pricing-of-tender-offer-for-any-and-all-of-its-outstanding-5-000-senior-notes-due-2022--4-000-senior-notes-due-2025-and-4-750-senior-notes-due-2025--301506019.html,3/18/2022
Britehorn Partners Advises SolarLeadFactory on Acquisition by Enphase Energy,https://www.prnewswire.com/news-releases/britehorn-partners-advises-solarleadfactory-on-acquisition-by-enphase-energy-301505995.html,3/18/2022
Envoy Solutions Strengthens Northeast Presence with ATRA Acquisition,https://www.prnewswire.com/news-releases/envoy-solutions-strengthens-northeast-presence-with-atra-acquisition-301505895.html,3/18/2022
"S&amp;P Global Announces Early Results of Tender Offer for Any and All of Its Outstanding 5.000% Senior Notes Due 2022, 4.000% Senior Notes Due 2025 and 4.750% Senior Notes Due 2025",https://www.prnewswire.com/news-releases/sp-global-announces-early-results-of-tender-offer-for-any-and-all-of-its-outstanding-5-000-senior-notes-due-2022--4-000-senior-notes-due-2025-and-4-750-senior-notes-due-2025--301505829.html,3/18/2022
EverNest Financial Advisors Builds on its Independent Position by Partnering With Sanctuary Wealth,https://www.prnewswire.com/news-releases/evernest-financial-advisors-builds-on-its-independent-position-by-partnering-with-sanctuary-wealth-301505817.html,3/18/2022
KIMMERIDGE LAUNCHES CHESTNUT CARBON TO CREATE HIGH-QUALITY NATURE-BASED CARBON OFFSETS,https://www.prnewswire.com/news-releases/kimmeridge-launches-chestnut-carbon-to-create-high-quality-nature-based-carbon-offsets-301505748.html,3/18/2022
"TriNet Group, Inc. Announces Preliminary Results of its Modified Dutch Auction Tender Offer",https://www.prnewswire.com/news-releases/trinet-group-inc-announces-preliminary-results-of-its-modified-dutch-auction-tender-offer-301505750.html,3/18/2022
Equinix to Expand into Chile and Peru with US$705 Million Acquisition of 4 Entel Data Centers,https://www.prnewswire.com/news-releases/equinix-to-expand-into-chile-and-peru-with-us705-million-acquisition-of-4-entel-data-centers-301505657.html,3/18/2022
Terran Orbital to Participate in SATELLITE 2022,https://www.prnewswire.com/news-releases/terran-orbital-to-participate-in-satellite-2022-301505546.html,3/18/2022
"GOGORO INC. AND POEMA GLOBAL HOLDINGS CORP. ANNOUNCE FILING OF DEFINITIVE PROXY STATEMENT AND SET MARCH 31, 2022 FOR SHAREHOLDER MEETING TO VOTE ON BUSINESS COMBINATION",https://www.prnewswire.com/news-releases/gogoro-inc-and-poema-global-holdings-corp-announce-filing-of-definitive-proxy-statement-and-set-march-31-2022-for-shareholder-meeting-to-vote-on-business-combination-301505644.html,3/18/2022
Noble Corporation and Maersk Drilling announce Executive Management Team for Combined Company,https://www.prnewswire.com/news-releases/noble-corporation-and-maersk-drilling-announce-executive-management-team-for-combined-company-301505499.html,3/18/2022
"Construction Partners acquires asphalt, sitework operational assets of GAC Contractors","https://www.google.com/search?q=Construction+Partners+acquires+asphalt,+sitework+operational+assets+of+GAC+Contractors",3/18/2022
O2Micro receives prelim non-binding acquisition proposal,https://www.google.com/search?q=O2Micro+receives+prelim+non-binding+acquisition+proposal,3/18/2022
Camden Property Trust to acquire fund partnership interests,https://www.google.com/search?q=Camden+Property+Trust+to+acquire+fund+partnership+interests,3/18/2022
Brookfield Business Partners expands in Australia with $1.1B La Trobe Financial buy,https://www.google.com/search?q=Brookfield+Business+Partners+expands+in+Australia+with+$1.1B+La+Trobe+Financial+buy,3/18/2022
"SpartanNash gains after activists nominate directors, pushes for sale review (update)","https://www.google.com/search?q=SpartanNash+gains+after+activists+nominate+directors,+pushes+for+sale+review+(update)",3/18/2022
Funds push Vodafone for $16 billion infrastructure deal,https://www.google.com/search?q=Funds+push+Vodafone+for+$16+billion+infrastructure+deal,3/18/2022
DigitalBridge upped to Neutral at J.P. Morgan on attractive M&A environment,https://www.google.com/search?q=DigitalBridge+upped+to+Neutral+at+J.P.+Morgan+on+attractive+M&A+environment,3/18/2022
Anaplan gains after activists announce plans to nominate directors,https://www.google.com/search?q=Anaplan+gains+after+activists+announce+plans+to+nominate+directors,3/18/2022
Sorrento subsidiary Scilex to go public in SPAC merger with Vickers Vantage,https://www.google.com/search?q=Sorrento+subsidiary+Scilex+to+go+public+in+SPAC+merger+with+Vickers+Vantage,3/18/2022
Elektros in talks to acquire Sunday Scooters,https://www.google.com/search?q=Elektros+in+talks+to+acquire+Sunday+Scooters,3/18/2022
Veritiv agrees to sell Veritiv Canada business to Imperial Dade,https://www.google.com/search?q=Veritiv+agrees+to+sell+Veritiv+Canada+business+to+Imperial+Dade,3/18/2022
Daikin subsidiary agrees to acquire CCOM Group,https://www.google.com/search?q=Daikin+subsidiary+agrees+to+acquire+CCOM+Group,3/18/2022
Equinix to acquire four Entel data centers for $705M,https://www.google.com/search?q=Equinix+to+acquire+four+Entel+data+centers+for+$705M,3/18/2022
Cancer focused Apexigen to go public via deal with SPAC Brookline Capital,https://www.google.com/search?q=Cancer+focused+Apexigen+to+go+public+via+deal+with+SPAC+Brookline+Capital,3/18/2022
Prudential Financial and LeapFrog Investments to acquire a strategic minority interest in Alexander Forbes Group,https://www.google.com/search?q=Prudential+Financial+and+LeapFrog+Investments+to+acquire+a+strategic+minority+interest+in+Alexander+Forbes+Group,3/18/2022
"â€¢ Cornerstone OnDemand, a portfolio company of Clearlake Capital, agreed to buy EdCast, a Mountain View, Calif.-based provider of learning experience software that had raised over $100m from firms like Avathon Capital, REV Venture Partners, National Grid Partners, Sterling Partners and State Street Global Advisors and Cervin Ventures.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"ðŸš‘ Fullscript, a portfolio company of HGGC and Snapdragon Capital Partners, bought Emerson Ecologics, a Manchester, N.H.-based nutritional supplements distributor, from Liberty Lane Partners (which retains a minority stake).",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"â€¢ Horsepower, an auto aftermarket platform of Huron Capital, acquired Rago Fabrication, a Kerrville, Texas-based maker of off-road/overland aftermarket products for Toyota and Lexus vehicles.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"â€¢ Nadir Figueiredo, a Colombian glass tableware company owned by H.I.G. Capital, acquired rival Cristar Tabletop from Owens Illinois (NYSE: OI).",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"â€¢ Newfold Digital, a portfolio company of Clearlake Capital and Siris Capital Group, acquired YITH, a provider of WooCommerce plugins and themes for WordPress.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"â€¢ Sycamore Partners is considering a buyout bid for British fashion retailer Ted Baker (LSE: TED), per Sky News.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"â€¢ France's antitrust regulator is launching an investigation into the pending merger of TF1 and M6, the country's two largest private broadcasters.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
